Company_Number,SYS_RESPNUM,SURVEY_POLE,SURVEY_CONTACT_FUNCTION,SURVEY_VALUE_CHAIN,MAXDIFF: Material selection support,MAXDIFF: Processing support,MAXDIFF: Application development support,MAXDIFF: Total system cost reduction,MAXDIFF: Efficient and reliable ordering process,MAXDIFF: Delivery &amp; inventory management,MAXDIFF: Low material price,MAXDIFF: Formula based or fixed material price,MAXDIFF: Material coloring solutions,MAXDIFF: Account manager relationship,MAXDIFF: Collaboration during your innovation process,MAXDIFF: Collaboration for growth,MAXDIFF: Support towards your sustainability goals,MAXDIFF: Material quality,MAXDIFF: Supplier expertise of your industry,MAXDIFF: Global service and operations,MAXDIFF: Local service and operations,MAXDIFF: Business services,"MAXDIFF: Credit limit, financing and payment terms",MAXDIFF: Broad material portfolio,Willing to Changing suppliers,Willing to Give more business,Willing to Recommend to others,Willing to Specify as supplier of choice,Willing to Pay for consulting services,Willing to Pay price premium,Changed material suppliers in past,Given more business in past,Recommended to others in past,Specify as supplier of choice in past,Paid for consulting services in past,Paid premium in past,Will - Order large quantity for lower price,Will accept - No sales rep for lower price,Will accept - Cancellation fees for lower price,Will accept - Longer lead times for lower price,Will accept - Broader materials specs for lower price,Will - Use own transportation for lower price,Will - Allocate more spending to supplier for lower price,Will - Give up support for lower price,Price Importance,Quality and service importance
1000,947,PAC,SUPPLY CHAIN,OEM,1.620751,2.730793,1.620094,10.660592,11.657029,12.200048,11.918139,8.518647,0.162505,4.245123,0.650925,0.280765,0.152521,8.917221,0.118983,10.893291,10.64292,0.041276,2.959241,0.009134,2,4,1,4,3,2,1,1,0,0,0,0,2,4,2,2,4,4,2,4,50,50
1000,977,PAC,PURCHASING,OEM,9.326322,6.337621,6.716233,12.992048,8.577863,10.56567,11.401685,9.478774,0.032334,2.071297,5.031178,2.241944,0.523428,7.615738,1.924561,0.212146,3.1996,0.037683,0.193801,1.520076,4,3,4,4,4,4,1,1,1,1,1,1,4,4,2,3,2,3,3,3,75,25
1000,1113,EUR,PURCHASING,OEM,1.472513,0.647835,0.524612,14.899296,12.174657,13.770794,15.061551,10.749586,0.808192,0.173451,1.185,0.173129,2.386865,14.895297,1.876119,1.227045,4.094384,0.15148,3.711963,0.016231,4,2,4,3,1,1,1,0,1,1,0,0,3,5,1,2,1,1,3,5,40,60
1000,1145,EUR,ENGINEERING/DESIGN,OEM,12.054624,10.470328,9.470533,8.15579,1.698388,0.170573,4.554775,0.100861,0.023576,0.808291,10.290758,12.716868,0.457135,13.043644,4.783241,4.757008,1.405869,0.62088,0.218396,4.198462,2,2,3,3,2,2,1,0,0,0,0,0,4,2,2,2,2,2,3,2,25,75
1000,1149,PAC,PURCHASING,Contract Manufacturer,1.26356,0.324147,0.112697,7.700548,12.362176,11.260724,13.037234,5.051316,3.545045,7.978409,0.290944,0.227808,0.114432,12.868104,0.606691,6.936262,8.671294,5.656435,1.974091,0.018085,2,5,5,5,1,3,1,0,0,1,0,0,4,4,1,2,1,4,4,2,80,20
1000,2567,PAC,ENGINEERING/DESIGN,OEM,4.176481,9.668417,10.824921,10.904956,6.486137,2.928534,5.274723,0.697569,0.076669,0.113992,9.325162,13.26687,1.260928,13.095461,1.31361,6.035124,3.022921,0.084586,0.554625,0.888314,4,4,4,4,2,2,1,1,1,1,0,0,4,2,2,2,4,3,4,2,60,40
1000,3138,PAC,MANUFACTURING,OEM,4.332274,11.105078,11.969854,2.57285,1.617,5.555916,3.120806,0.138699,0.20247,0.048454,7.213572,7.405008,1.104457,12.790985,9.863789,9.888683,10.360562,0.035216,0.168965,0.505361,4,5,4,4,4,3,1,1,1,1,0,0,4,2,2,2,4,3,4,2,50,50
1000,3355,AMR,PURCHASING,Molder,6.569122,5.812203,4.920925,14.560804,4.020909,1.596597,14.553425,14.519824,0.481729,0.069663,1.576194,3.600215,5.374619,13.042886,0.239577,0.0681,0.429358,0.122935,6.358919,2.081996,2,4,5,5,3,2,1,1,1,1,0,0,1,5,4,3,2,5,2,2,65,35
1000,3754,AMR,PURCHASING,Molder,9.522988,9.491589,3.75929,11.802525,5.807386,3.043537,8.158561,7.558159,0.227056,0.309788,10.932657,0.039949,2.573624,12.911894,6.912118,0.022936,0.326963,0.620286,5.083078,0.895616,2,4,4,4,2,2,1,1,1,1,0,1,4,2,2,2,2,1,3,2,50,50
1000,3831,PAC,SUPPLY CHAIN,OEM,9.181317,0.755713,10.045987,13.230099,0.452276,1.969945,11.633017,12.766636,0.112858,7.410621,8.795238,0.088695,0.61318,7.857605,2.089913,0.039581,5.279955,1.649325,0.963475,5.064562,5,5,5,5,4,2,1,1,1,1,0,0,4,3,2,1,5,1,5,2,80,20
1001,1042,PAC,MANUFACTURING,Other,1.059024,0.363209,1.010174,13.069604,2.197945,12.375933,13.607499,8.541637,0.01909,8.363087,0.998388,6.241783,0.178524,13.417228,4.091164,5.218858,3.584651,0.162011,5.492214,0.007976,4,5,4,4,3,3,0,1,0,1,0,0,4,3,1,1,1,3,5,1,40,60
1001,1117,PAC,PURCHASING,Other,6.212647,0.668336,1.869046,11.60041,6.573597,7.504808,12.773254,4.445873,1.697403,13.103022,4.00712,0.472252,0.709971,9.168961,0.155356,0.068192,13.430982,0.928336,2.616834,1.993597,5,5,4,5,3,3,1,1,1,1,0,0,4,2,2,1,4,2,4,2,50,50
1001,2911,PAC,SUPPLY CHAIN,Other,5.07821,0.103986,0.309462,13.435533,12.096489,11.233459,11.43526,3.863258,7.129753,13.033104,2.392612,0.867917,0.542851,13.648144,0.504779,0.995452,1.462711,1.326694,0.52747,0.012856,2,5,4,5,2,3,1,1,1,1,0,0,2,2,3,3,3,3,3,3,50,50
1002,2748,PAC,FINANCE,Molder,2.268032,4.932874,1.071999,3.091516,10.200172,13.156712,5.372142,8.890121,0.178257,0.329289,0.063789,0.007152,0.726072,13.268427,0.531902,1.670626,11.982515,9.178733,11.568242,1.511429,2,1,4,2,1,1,0,0,1,0,0,0,2,1,1,1,3,1,1,1,50,50
1003,1095,PAC,PURCHASING,ODM,4.569934,0.879857,0.396581,13.611004,0.485344,4.678287,8.393159,4.436966,0.223323,6.631408,7.246934,8.766357,5.585984,14.232812,2.519611,3.432629,4.404,0.048704,0.395643,9.061462,2,4,4,4,3,3,0,1,0,0,0,0,2,4,1,1,2,3,3,2,50,50
1004,71,EUR,MANUFACTURING,Tier 1,10.836256,12.65011,12.8432,3.303173,1.166546,1.272401,2.195825,0.186709,2.289151,1.33105,10.903385,0.065261,4.757135,12.748247,6.486112,0.029868,10.757406,4.419443,1.670566,0.088157,3,3,4,4,3,3,1,1,1,1,0,0,3,3,4,2,2,3,2,1,25,75
